"year","label","class","count"
"2018","0","benign","334"
"2018","1","malware","328"
"2019","0","benign","344"
"2019","1","malware","305"
"2020","0","benign","527"
"2020","1","malware","501"
"2021","0","benign","503"
"2021","1","malware","374"
"2022","0","benign","442"
"2022","1","malware","417"
"2023","0","benign","225"
"2023","1","malware","219"
"2024","0","benign","211"
"2024","1","malware","165"
