"year","label","class","count"
"2020","0","benign","486"
"2020","1","malware","471"
"2021","0","benign","467"
"2021","1","malware","283"
"2022","0","benign","407"
"2022","1","malware","392"
"2023","0","benign","225"
"2023","1","malware","219"
"2024","0","benign","193"
"2024","1","malware","139"
