split,num_samples,num_malware,num_benign,malware_ratio,benign_ratio,num_failed_to_analyze,analysis_failed_ratio,api_semantic_nonzero_ratio,graph_semantic_nonzero_ratio,manifest_semantic_nonzero_ratio,manifest_parse_error_ratio,multi_dex_partial_failed_ratio,q_api_mean,q_api_std,q_api_p10,q_api_p50,q_api_p90,q_api_min,q_api_max,q_graph_mean,q_graph_std,q_graph_p10,q_graph_p50,q_graph_p90,q_graph_min,q_graph_max,q_align_mean,q_align_std,q_align_p10,q_align_p50,q_align_p90,q_align_min,q_align_max,q_manifest_mean,q_manifest_std,q_manifest_p10,q_manifest_p50,q_manifest_p90,q_manifest_min,q_manifest_max
train,10494,5244,5250,0.4997141223556318,0.5002858776443682,0,0.0,0.9987611968744045,0.9987611968744045,0.9989517819706499,0.0,0.0007623403849818944,0.8656718730926514,0.10464465618133545,0.6989892721176147,0.886982262134552,1.0,0.0,1.0,0.9126377701759338,0.16430523991584778,0.5850694179534912,1.0,1.0,0.046875,1.0,0.5233186483383179,0.09463892877101898,0.3828858435153961,0.5494257211685181,0.599365234375,0.0,0.813994824886322,0.9993329644203186,0.025818653404712677,1.0,1.0,1.0,0.0,1.0
val,1499,749,750,0.49966644429619744,0.5003335557038026,0,0.0,0.9993328885923949,0.9993328885923949,1.0,0.0,0.0,0.8635921478271484,0.10328669100999832,0.7010416984558105,0.8837890625,0.99755859375,0.46064454317092896,1.0,0.9139217138290405,0.16084375977516174,0.6264204382896423,1.0,1.0,0.2135416716337204,1.0,0.5218426585197449,0.09649556875228882,0.3837939202785492,0.5493884086608887,0.5981445908546448,0.009030329063534737,0.7879185080528259,1.0,0.0,1.0,1.0,1.0,1.0,1.0
test,2999,1499,1500,0.49983327775925307,0.5001667222407469,0,0.0,0.9989996665555185,0.9989996665555185,0.9993331110370124,0.0,0.0010003334444814939,0.8660754561424255,0.10204893350601196,0.7085741758346558,0.886962890625,0.9996093511581421,0.3636718690395355,1.0,0.9132731556892395,0.16215382516384125,0.625,1.0,1.0,0.015625,1.0,0.5253499150276184,0.09337835758924484,0.38832756876945496,0.548583984375,0.6015396118164062,0.019926348701119423,0.8075160980224609,0.9993330836296082,0.025815581902861595,1.0,1.0,1.0,0.0,1.0
